id,Shipment Number,Destination,Transportation Mode,Actual Delivery Date,SLA Delivery Date,Cargo Ready Date,SLA ,Carrier,,
2431,1379064,IMU,OCEAN,2022-02-16 6:30,2022-03-16 0:00,2021-12-08 0:00,98,CARRIER 1,,
2701,1446157,IMU,OCEAN,2022-06-09 12:00,2022-05-18 0:00,2022-02-09 0:00,98,CARRIER 1,,
2837,1498169,IMU,OCEAN,2022-06-23 12:00,2022-08-01 0:00,2022-04-25 0:00,98,CARRIER 1,,
6025,1566114,IMU,OCEAN,2022-08-10 7:32,2022-08-24 0:00,2022-05-18 0:00,98,CARRIER 1,,
2089,1268866,IMU,OCEAN,2022-01-26 11:00,2021-12-08 0:00,2021-09-15 0:00,84,CARRIER 1,,
2249,1307282,IMU,OCEAN,2022-01-03 12:00,2022-01-05 0:00,2021-10-13 0:00,84,CARRIER 1,,
2250,1307340,IMU,OCEAN,2022-01-25 9:35,2022-01-19 0:00,2021-10-27 0:00,84,CARRIER 1,,
2328,1346703,IMU,OCEAN,2022-03-16 7:00,2022-02-09 0:00,2021-11-17 0:00,84,CARRIER 1,,
2053,1246440,IMU,OCEAN,2021-12-15 7:00,2021-10-27 0:00,2021-08-11 0:00,77,CARRIER 1,,
8301,1671306,IMU,OCEAN,2022-09-26 8:59,2022-10-19 0:00,2022-08-03 0:00,77,CARRIER 1,,
9219,BB228901005,IMU,OCEAN,2022-11-11 20:00,2022-11-11 0:00,2022-08-26 0:00,77,CARRIER 3,,
9101,HKA2262672,IMU,OCEAN,2022-10-31 12:00,2022-11-12 0:00,2022-08-27 0:00,77,CARRIER 2,,
1521,1000442,IMU,OCEAN,2021-03-01 8:00,2021-03-10 0:00,2020-12-30 0:00,,CARRIER 1,,
1523,1002450,IMU,OCEAN,2021-02-26 8:30,2021-02-25 0:00,2020-12-17 0:00,70,CARRIER 1,,
1541,1013917,IMU,OCEAN,2021-02-25 9:34,2021-03-16 0:00,2021-01-05 0:00,70,CARRIER 1,,
1552,1022779,IMU,OCEAN,2021-04-23 9:30,2021-04-03 0:00,2021-01-23 0:00,70,CARRIER 1,,
1553,1023040,IMU,OCEAN,2021-04-16 8:00,2021-04-03 0:00,2021-01-23 0:00,70,CARRIER 1,,
1556,1027685,IMU,OCEAN,2021-04-23 7:30,2021-04-09 0:00,2021-01-29 0:00,70,CARRIER 1,,
1604,1052392,IMU,OCEAN,2021-04-06 8:00,2021-05-08 0:00,2021-02-27 0:00,70,CARRIER 1,,
1605,1054344,IMU,OCEAN,2021-05-07 12:00,2021-05-15 0:00,2021-03-06 0:00,70,CARRIER 1,,
1608,1060261,IMU,OCEAN,2021-05-24 7:30,2021-05-22 0:00,2021-03-13 0:00,70,CARRIER 1,,
1609,1060268,IMU,OCEAN,2021-05-12 13:00,2021-05-22 0:00,2021-03-13 0:00,70,CARRIER 1,,
1632,1072422,IMU,OCEAN,2021-04-20 7:00,2021-05-21 0:00,2021-03-12 0:00,70,CARRIER 1,,
1633,1074045,IMU,OCEAN,2021-04-30 10:00,2021-05-29 0:00,2021-03-20 0:00,70,CARRIER 1,,
1634,1074061,IMU,OCEAN,2021-04-27 7:30,2021-05-28 0:00,2021-03-19 0:00,70,CARRIER 1,,
1646,1075777,IMU,OCEAN,2021-04-23 12:30,2021-05-22 0:00,2021-03-13 0:00,70,CARRIER 1,,
1648,1077175,IMU,OCEAN,2021-05-10 10:00,2021-06-05 0:00,2021-03-27 0:00,70,CARRIER 1,,
1651,1079639,IMU,OCEAN,2021-05-07 12:30,2021-06-05 0:00,2021-03-27 0:00,70,CARRIER 1,,
1654,1082567,IMU,OCEAN,2021-05-17 8:00,2021-06-09 0:00,2021-03-31 0:00,70,CARRIER 1,,
1679,1093583,IMU,OCEAN,2021-05-18 10:00,2021-06-19 0:00,2021-04-10 0:00,70,CARRIER 1,,
1703,1108408,IMU,OCEAN,2021-06-01 10:30,2021-06-20 0:00,2021-04-11 0:00,70,CARRIER 1,,
1730,1118927,IMU,OCEAN,2021-06-22 7:30,2021-07-08 0:00,2021-04-29 0:00,70,CARRIER 1,,
1765,1133796,IMU,OCEAN,2021-08-26 0:00,2021-07-07 0:00,2021-04-28 0:00,70,CARRIER 1,,
1889,1185881,IMU,OCEAN,2021-11-08 9:00,2021-09-07 0:00,2021-06-29 0:00,,CARRIER 1,,
1916,1205097,IMU,OCEAN,2021-10-01 11:00,2021-09-01 0:00,2021-06-23 0:00,70,CARRIER 1,,
1944,1216766,IMU,OCEAN,2021-11-24 10:00,2021-09-29 0:00,2021-07-21 0:00,70,CARRIER 1,,
